dimension,segment,tickers,events,avg_recovery_rate_pct,avg_success_30d_pct,median_recovery_days,avg_dividend_yield_pct,avg_expected_tae_pct,avg_capture_score,top_ticker
sector,7011,15,111,92.27777777777779,82.5,4.0,0.7668303923326714,49.60648612156881,84.286902462101,LVS
sector,3561,6,36,94.44444444444446,83.33333333333333,5.0,0.3297535246396121,24.271341567153854,84.28411333014198,GGG
sector,6200,7,70,91.66666666666667,86.90476190476191,4.0,0.29583716526938286,56.484974602992175,84.24202754593146,ICE
sector,6021,73,699,93.1299294312993,83.96370752535137,5.0,0.8158807562840388,61.92994072902951,84.18974386583832,HWBK
sector,2080,6,50,91.66666666666669,86.11111111111113,4.5,0.7211214590665435,71.38749866514671,84.18198331991304,PRMB
sector,3089,6,54,97.22222222222223,80.55555555555556,3.75,0.7680979500798027,68.81512764283606,84.14454841417312,ATR
sector,2033,1,6,100.0,83.33333333333334,5.5,1.0097824989940378,67.01283856960433,84.12845857478517,SJM
sector,3533,7,55,90.47619047619048,85.71428571428571,2.0,0.3797094365920746,68.17799022232903,84.11899676144553,FLOC
sector,3140,4,36,91.66666666666667,87.5,2.5,0.555601132103408,74.44335293087155,84.11503977646512,WWW
sector,6221,8,83,92.3202614379085,86.72385620915033,4.0,0.41046150485621036,46.562623151904226,84.10707912856797,TSOL
sector,3310,4,30,91.66666666666669,87.5,3.5,0.4240397489544996,50.83095340476,84.07464520525099,FRD
sector,4931,17,136,94.11764705882354,82.49299719887955,5.0,0.9110226507435688,63.337272390322184,84.0604372024948,NI
sector,5331,5,42,93.33333333333333,86.66666666666666,4.0,0.5070469604322245,48.023578262505694,84.04939745308408,WMT
sector,7350,3,30,88.8888888888889,88.8888888888889,1.0,0.3315187909280235,68.39784810582147,84.0390960687343,FTAI
sector,6351,5,28,92.5,85.0,6.5,0.8487179110297929,52.888839015216305,84.02415269983165,MTG
sector,3613,2,24,91.66666666666667,83.33333333333333,4.5,0.22209971411492963,52.19934490396022,83.97483931879799,LFUS
sector,4924,10,59,91.33333333333334,84.66666666666667,4.25,0.7160528912258696,53.751581967038874,83.96683894533294,OGS
sector,7363,7,57,88.0952380952381,85.71428571428574,3.0,1.1394768432539235,132.81006062874195,83.95421299288691,MAN
sector,3440,2,12,91.66666666666667,83.33333333333333,4.0,0.11829713910657519,8.789041646416724,83.84650924825564,ACA
sector,5311,3,18,88.8888888888889,88.8888888888889,3.0,0.9339062547455557,82.77800950495389,83.77856814197054,KSS
sector,6035,23,250,91.88405797101449,81.59420289855073,3.0,0.8837819903796685,89.01622784778738,83.77301858605178,NFBK
sector,6022,151,1497,92.33912886230769,83.14834172450067,4.0,0.8224443042536868,79.52006210279755,83.72700069649554,BANR
sector,5051,2,11,90.0,81.66666666666667,2.0,0.5939006270504881,138.82962345933913,83.7018173834773,RS
sector,2911,12,74,93.05555555555556,84.72222222222223,5.25,1.3488076538798115,74.91854930690003,83.66596529266374,SUNC
sector,3510,3,18,88.8888888888889,83.33333333333334,1.5,0.4184426921835431,71.52451638509868,83.63033307065876,BWXT
sector,6361,4,30,91.66666666666669,83.33333333333334,4.0,0.8151166755257161,64.42736928762469,83.56309094407854,STC
sector,3576,2,18,91.66666666666667,83.33333333333334,4.5,0.4519878008080803,33.45507376544006,83.55913114528249,CSCO
sector,4833,7,55,92.85714285714286,80.95238095238095,5.0,1.1597485590689456,122.52010613274527,83.54108713613036,VSNT
sector,7372,13,116,89.92673992673993,88.82783882783883,6.0,0.48741079406522747,44.71234152078705,83.31880066523925,RDVT
sector,2673,1,12,100.0,83.33333333333334,9.5,0.9829452326611566,37.76579051803392,83.29664781342889,REYN
sector,8731,1,12,100.0,66.66666666666666,12.5,0.834089658217137,24.355418019940398,83.22027148067683,NRC
sector,3490,6,36,91.66666666666667,80.55555555555554,4.25,0.22712866723729663,17.15638592889545,83.20966781528661,HLIO
sector,5961,1,12,100.0,66.66666666666666,9.5,0.43084727665640093,16.553605892588035,83.20179071574785,CDW
sector,4700,3,30,88.8888888888889,83.33333333333333,3.0,0.9041808613790602,55.512401632897685,83.18515369348545,GATX
sector,7990,3,14,94.44444444444446,83.33333333333333,15.0,1.4750231797131332,53.95423230469013,83.13803254467409,DIS
sector,7500,1,12,83.33333333333334,83.33333333333334,1.0,1.5701093230698107,477.5749191004008,83.13765379103614,MNRO
sector,3842,5,31,90.0,86.0,5.0,0.2538471991528762,30.828520500805865,83.08062351282534,ZBH
sector,7812,1,14,85.71428571428571,85.71428571428571,6.0,1.9115402690946202,99.67317117421948,83.05846904068335,CURI
sector,3530,1,6,100.0,66.66666666666666,8.5,0.2646609852210708,11.364854071257746,83.0413324070019,DOV
sector,6211,17,124,90.33613445378151,83.8935574229692,5.5,1.0228698128611815,48.24703395192864,83.0264257592152,GS
